# Authoritative Xbox kernel export ordinals (from nxdk xboxkrnl.exe.def).
# Regenerate with tools/kernelaudit/make_ref.py. Do not hand-edit.
ordinal,name,kind
296,RtlLowerChar,func
297,RtlMapGenericMask,func
298,RtlMoveMemory,func
299,RtlMultiByteToUnicodeN,func
300,RtlMultiByteToUnicodeSize,func
301,RtlNtStatusToDosError,func
302,RtlRaiseException,func
303,RtlRaiseStatus,func
304,RtlTimeFieldsToTime,func
305,RtlTimeToTimeFields,func
306,RtlTryEnterCriticalSection,func
307,RtlUlongByteSwap,func
308,RtlUnicodeStringToAnsiString,func
309,RtlUnicodeStringToInteger,func
310,RtlUnicodeToMultiByteN,func
311,RtlUnicodeToMultiByteSize,func
312,RtlUnwind,func
313,RtlUpcaseUnicodeChar,func
314,RtlUpcaseUnicodeString,func
315,RtlUpcaseUnicodeToMultiByteN,func
316,RtlUpperChar,func
317,RtlUpperString,func
318,RtlUshortByteSwap,func
319,RtlWalkFrameChain,func
320,RtlZeroMemory,func
321,XboxEEPROMKey,data
322,XboxHardwareInfo,data
323,XboxHDKey,data
324,XboxKrnlVersion,data
325,XboxSignatureKey,data
326,XeImageFileName,data
327,XeLoadSection,func
328,XeUnloadSection,func
329,READ_PORT_BUFFER_UCHAR,func
330,READ_PORT_BUFFER_USHORT,func
331,READ_PORT_BUFFER_ULONG,func
332,WRITE_PORT_BUFFER_UCHAR,func
333,WRITE_PORT_BUFFER_USHORT,func
334,WRITE_PORT_BUFFER_ULONG,func
335,XcSHAInit,func
336,XcSHAUpdate,func
337,XcSHAFinal,func
338,XcRC4Key,func
339,XcRC4Crypt,func
340,XcHMAC,func
341,XcPKEncPublic,func
342,XcPKDecPrivate,func
343,XcPKGetKeyLen,func
344,XcVerifyPKCS1Signature,func
345,XcModExp,func
346,XcDESKeyParity,func
347,XcKeyTable,func
348,XcBlockCrypt,func
349,XcBlockCryptCBC,func
350,XcCryptService,func
351,XcUpdateCrypto,func
352,RtlRip,func
353,XboxLANKey,data
354,XboxAlternateSignatureKeys,data
355,XePublicKeyData,data
356,HalBootSMCVideoMode,data
357,IdexChannelObject,data
358,HalIsResetOrShutdownPending,func
359,IoMarkIrpMustComplete,func
360,HalInitiateShutdown,func
361,RtlSnprintf,func
362,RtlSprintf,func
363,RtlVsnprintf,func
364,RtlVsprintf,func
365,HalEnableSecureTrayEject,func
366,HalWriteSMCScratchRegister,func
